2026-09-06 21:33:47.040 | ========================================================================
2026-09-06 21:33:47.040 | startup                  | FBB 1.87.0 — session 2026-09-06 21:33:47
2026-09-06 21:33:47.040 | startup                  | Répertoire : C:\Falcon\Admin\Logiciels annexes\FBB\_internal
2026-09-06 21:33:47.040 | startup                  | Python 3.14.5
2026-09-06 21:33:47.040 | ========================================================================
2026-09-06 21:33:47.040 | system                   | OS : Windows 11 10.0.26200, AMD64, 32 CPU, RAM 32 GB
2026-09-06 21:33:47.050 | system                   | Machine : <masqué> / Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
2026-09-06 21:33:47.050 | registry                 | BMS baseDir : C:\Falcon\Falcon BMS 4.38
2026-09-06 21:33:47.050 | registry                 | BMS theater : LKTO 4.38 + Papa  pilot : Obe1
2026-09-06 21:33:47.352 | mc_state                 | module chargé — prédicat MC unique (#222)
2026-09-06 21:33:48.632 | parse_health             | CI01.cam: records 580/580, bytes 263785/263785, rejects=0, exc=0, constr_err=0, first_desync=None
2026-09-06 21:33:50.341 | ato_target               | index_built names=6579 memo=True
2026-09-06 21:33:50.342 | ato_departure            | resolved=1/1
2026-09-06 21:33:50.580 | telemetry                | ping OK v1.87.0 Windows 11 canal=prod → HTTP 200
2026-09-06 21:33:53.592 | campaign_mods            | package non composable : package vide : ajouter au moins un vol
2026-09-06 21:33:53.593 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 1} sig=-
2026-09-06 21:33:53.763 | ato_departure            | resolved=1/1
2026-09-06 21:33:53.879 | fuel_plan                | avail=12194 atTurn=9332 bingo=3500 joker=4000 rtb=1303 margin=5832 GO
2026-09-06 21:33:53.880 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=2 hash=d1fc8ad9
2026-09-06 21:33:55.344 | swap_context             | origin=select_cam:latest cam='ci01.cam' loaded=True err=''
2026-09-06 21:33:55.373 | ato_departure            | resolved=1/1
2026-09-06 21:33:55.439 | ato_departure            | resolved=1/1
2026-09-06 21:33:55.750 | campaign_mods            | package non composable : package vide : ajouter au moins un vol
2026-09-06 21:33:55.750 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 1} sig=-
2026-09-06 21:33:55.763 | fuel_plan                | avail=12194 atTurn=9332 bingo=3500 joker=4000 rtb=1303 margin=5832 GO
2026-09-06 21:33:55.763 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=2 hash=d1fc8ad9
2026-09-06 21:34:00.424 | ato_departure            | resolved=1/1
2026-09-06 21:34:00.439 | ato_departure            | resolved=1/1
2026-09-06 21:34:00.824 | campaign_mods            | package non composable : package vide : ajouter au moins un vol
2026-09-06 21:34:00.824 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 1} sig=-
2026-09-06 21:34:00.837 | fuel_plan                | avail=12194 atTurn=9332 bingo=3500 joker=4000 rtb=1303 margin=5832 GO
2026-09-06 21:34:00.838 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=2 hash=d1fc8ad9
2026-09-06 21:34:08.003 | ato_departure            | resolved=92/175
2026-09-06 21:34:08.032 | radiomap_service         | radiomap path=C:\Falcon\Falcon BMS 4.38\Data\Campaign\RadioMap.dat entries=1530
2026-09-06 21:34:08.041 | ato_aircraft_details     | vu=20173 aircraft=2 details=2
2026-09-06 21:34:08.052 | ato_aircraft_details     | vu=20346 aircraft=2 details=2
2026-09-06 21:34:08.064 | ato_aircraft_details     | vu=20409 aircraft=2 details=2
2026-09-06 21:34:08.075 | ato_aircraft_details     | vu=20428 aircraft=2 details=2
2026-09-06 21:34:08.086 | ato_aircraft_details     | vu=20508 aircraft=2 details=2
2026-09-06 21:34:08.098 | ato_aircraft_details     | vu=20510 aircraft=2 details=2
2026-09-06 21:34:08.109 | ato_aircraft_details     | vu=20584 aircraft=2 details=2
2026-09-06 21:34:08.120 | ato_aircraft_details     | vu=20624 aircraft=2 details=2
2026-09-06 21:34:08.126 | ato_aircraft_details     | vu=20243 aircraft=2 details=2
2026-09-06 21:34:08.127 | ato_aircraft_details     | vu=20450 aircraft=2 details=2
2026-09-06 21:34:08.127 | ato_aircraft_details     | vu=20460 aircraft=2 details=2
2026-09-06 21:34:08.128 | ato_aircraft_details     | vu=20036 aircraft=1 details=1
2026-09-06 21:34:08.128 | ato_aircraft_details     | vu=20061 aircraft=1 details=1
2026-09-06 21:34:08.129 | ato_aircraft_details     | vu=20514 aircraft=1 details=1
2026-09-06 21:34:08.129 | ato_aircraft_details     | vu=20034 aircraft=1 details=1
2026-09-06 21:34:08.129 | ato_aircraft_details     | vu=20035 aircraft=1 details=1
2026-09-06 21:34:08.130 | ato_aircraft_details     | vu=20088 aircraft=1 details=1
2026-09-06 21:34:08.130 | ato_aircraft_details     | vu=20359 aircraft=1 details=1
2026-09-06 21:34:08.130 | ato_aircraft_details     | vu=20512 aircraft=1 details=1
2026-09-06 21:34:08.131 | ato_aircraft_details     | vu=20675 aircraft=1 details=1
2026-09-06 21:34:08.137 | ato_aircraft_details     | vu=20690 aircraft=4 details=4
2026-09-06 21:34:08.148 | ato_aircraft_details     | vu=20044 aircraft=2 details=2
2026-09-06 21:34:08.159 | ato_aircraft_details     | vu=20087 aircraft=2 details=2
2026-09-06 21:34:08.165 | ato_target               | resolved id=20112 target=Attack
2026-09-06 21:34:08.165 | ato_aircraft_details     | vu=20113 aircraft=2 details=2
2026-09-06 21:34:08.166 | ato_target               | resolved id=20112 target=Attack
2026-09-06 21:34:08.171 | ato_aircraft_details     | vu=20172 aircraft=4 details=4
2026-09-06 21:34:08.177 | ato_target               | resolved id=20260 target=Attack
2026-09-06 21:34:08.177 | ato_aircraft_details     | vu=20261 aircraft=2 details=2
2026-09-06 21:34:08.177 | ato_target               | resolved id=20260 target=Attack
2026-09-06 21:34:08.177 | ato_target               | resolved id=20463 target=Attack
2026-09-06 21:34:08.177 | ato_aircraft_details     | vu=20464 aircraft=2 details=2
2026-09-06 21:34:08.178 | ato_target               | resolved id=20463 target=Attack
2026-09-06 21:34:08.183 | ato_aircraft_details     | vu=20623 aircraft=2 details=2
2026-09-06 21:34:08.194 | ato_aircraft_details     | vu=20625 aircraft=2 details=2
2026-09-06 21:34:08.206 | ato_aircraft_details     | vu=20649 aircraft=2 details=2
2026-09-06 21:34:08.212 | ato_aircraft_details     | vu=20112 aircraft=2 details=2
2026-09-06 21:34:08.212 | ato_aircraft_details     | vu=20134 aircraft=2 details=2
2026-09-06 21:34:08.213 | ato_aircraft_details     | vu=20247 aircraft=2 details=2
2026-09-06 21:34:08.214 | ato_aircraft_details     | vu=20260 aircraft=2 details=2
2026-09-06 21:34:08.214 | ato_aircraft_details     | vu=20269 aircraft=2 details=2
2026-09-06 21:34:08.215 | ato_aircraft_details     | vu=20453 aircraft=2 details=2
2026-09-06 21:34:08.215 | ato_aircraft_details     | vu=20463 aircraft=2 details=2
2026-09-06 21:34:08.216 | ato_aircraft_details     | vu=20517 aircraft=2 details=2
2026-09-06 21:34:08.216 | ato_aircraft_details     | vu=20627 aircraft=2 details=2
2026-09-06 21:34:08.217 | ato_aircraft_details     | vu=20658 aircraft=2 details=2
2026-09-06 21:34:08.217 | ato_aircraft_details     | vu=20174 aircraft=1 details=1
2026-09-06 21:34:08.218 | ato_aircraft_details     | vu=20689 aircraft=1 details=1
2026-09-06 21:34:20.262 | ato_departure            | resolved=1/1
2026-09-06 21:34:20.666 | campaign_mods            | package non composable : package vide : ajouter au moins un vol
2026-09-06 21:34:20.666 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 1} sig=-
2026-09-06 21:34:20.680 | fuel_plan                | avail=12194 atTurn=9504 bingo=3200 joker=3700 rtb=1043 margin=6304 GO
2026-09-06 21:34:20.681 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=1 hash=d1fc8ad9
2026-09-06 21:34:21.474 | campaign_mods            | package non composable : package vide : ajouter au moins un vol
2026-09-06 21:34:21.474 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 1} sig=-
2026-09-06 21:34:21.488 | fuel_plan                | avail=12194 atTurn=9504 bingo=3200 joker=3700 rtb=1043 margin=6304 GO
2026-09-06 21:34:21.488 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=1 hash=d1fc8ad9
2026-09-06 21:34:21.494 | ato_departure            | resolved=1/1
2026-09-06 21:34:26.537 | ato_departure            | resolved=1/1
2026-09-06 21:34:26.549 | ato_departure            | resolved=1/1
2026-09-06 21:34:26.938 | campaign_mods            | package non composable : package vide : ajouter au moins un vol
