2026-09-03 20:57:45.690 | ========================================================================
2026-09-03 20:57:45.690 | startup                  | FBB 1.87.0 — session 2026-09-03 20:57:45
2026-09-03 20:57:45.690 | startup                  | Répertoire : C:\Falcon\Admin\Logiciels annexes\FBB\_internal
2026-09-03 20:57:45.690 | startup                  | Python 3.14.5
2026-09-03 20:57:45.690 | ========================================================================
2026-09-03 20:57:45.691 | system                   | OS : Windows 11 10.0.26200, AMD64, 32 CPU, RAM 32 GB
2026-09-03 20:57:45.700 | system                   | Machine : <masqué> / Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
2026-09-03 20:57:45.700 | registry                 | BMS baseDir : C:\Falcon\Falcon BMS 4.38
2026-09-03 20:57:45.700 | registry                 | BMS theater : Korea KTO  pilot : Obe1
2026-09-03 20:57:45.880 | mc_state                 | module chargé — prédicat MC unique (#222)
2026-09-03 20:57:47.949 | parse_health             | TS02_7630.cam: records 1195/1195, bytes 554346/554346, rejects=0, exc=0, constr_err=0, first_desync=None
2026-09-03 20:57:49.328 | fpln_wp                  | final vu=20281 ARRIVE 8 wp  src=restore  restauration disque (boot)
2026-09-03 20:57:49.644 | telemetry                | ping OK v1.87.0 Windows 11 canal=prod → HTTP 200
2026-09-03 20:57:49.821 | ato_target               | index_built names=7194 memo=True
2026-09-03 20:57:49.821 | ato_departure            | resolved=1/1
2026-09-03 20:57:51.854 | ato_departure            | resolved=1/1
2026-09-03 20:57:52.288 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 20:57:52.578 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 20:57:52.581 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 20:58:23.734 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 20:58:23.753 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 20:58:23.753 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 20:58:23.831 | ato_departure            | resolved=1/1
2026-09-03 20:58:28.039 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 20:58:28.057 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 20:58:28.057 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 20:58:28.198 | ato_departure            | resolved=1/1
2026-09-03 20:58:45.095 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 20:58:45.112 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 20:58:45.112 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 20:58:45.246 | ato_departure            | resolved=1/1
2026-09-03 20:58:58.704 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 20:58:58.721 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 20:58:58.721 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 20:58:58.849 | ato_departure            | resolved=1/1
2026-09-03 20:59:35.964 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 20:59:35.979 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 20:59:35.980 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 20:59:36.113 | ato_departure            | resolved=1/1
2026-09-03 21:01:00.282 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 21:01:00.300 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 21:01:00.301 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 21:01:00.430 | ato_departure            | resolved=1/1
2026-09-03 21:01:07.412 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 21:01:07.428 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 21:01:07.428 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 21:01:07.555 | ato_departure            | resolved=1/1
2026-09-03 21:03:30.662 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 21:03:30.680 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 21:03:30.680 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 21:03:30.808 | ato_departure            | resolved=1/1
2026-09-03 21:08:03.899 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0, 'packages': 0} sig=-
2026-09-03 21:08:03.917 | fuel_plan                | avail=14234 atTurn=9396 bingo=5100 joker=5600 rtb=2688 margin=4296 GO
2026-09-03 21:08:03.917 | dtc_render               | path=Obe1.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=29 hash=30b5fc4e
2026-09-03 21:08:04.054 | ato_departure            | resolved=1/1
2026-09-03 21:08:52.586 | online                   | peek_roster 86.194.141.253:45380 start (suggested=Obe1)
2026-09-03 21:08:53.775 | online                   | peek_roster 86.194.141.253:45380 ok: 2 vol(s)
2026-09-03 21:09:25.602 | online                   | connect_client 86.194.141.253:45380 as Obe1
2026-09-03 21:09:25.603 | ato_departure            | resolved=1/1
2026-09-03 21:09:26.772 | online                   | host_theater=LKTO 4.38 + Papa local=Korea KTO
2026-09-03 21:09:26.854 | online                   | flight_occupancy flights=1 connected=2 pkg=7630
2026-09-03 21:09:26.877 | online                   | seats_import n=1
2026-09-03 21:09:26.975 | online                   | campaign_bundle received 9 files
2026-09-03 21:09:26.998 | online                   | theater_mismatch: LKTO+.tdf: absent localement; Falcon4_UCD.xml: SHA mismatch
2026-09-03 21:09:27.014 | online                   | ba_containers_sync received 16
2026-09-03 21:09:27.040 | online                   | seats_import n=1
2026-09-03 21:09:27.173 | parse_health             | FBB01.cam: records 823/823, bytes 300417/300417, rejects=0, exc=0, constr_err=0, first_desync=None
