2026-08-23 21:34:39.660 | ========================================================================
2026-08-23 21:34:39.660 | startup                  | FBB 1.80.0 — session 2026-08-23 21:34:39
2026-08-23 21:34:39.660 | startup                  | Répertoire : C:\Falcon\Admin\Logiciels annexes\FBB\_internal
2026-08-23 21:34:39.660 | startup                  | Python 3.14.5
2026-08-23 21:34:39.660 | ========================================================================
2026-08-23 21:34:39.661 | system                   | OS : Windows 11 10.0.26200, AMD64, 32 CPU, RAM 32 GB
2026-08-23 21:34:39.670 | system                   | Machine : <masqué> / Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
2026-08-23 21:34:39.670 | registry                 | BMS baseDir : C:\Falcon\Falcon BMS 4.38
2026-08-23 21:34:39.670 | registry                 | BMS theater : Korea KTO  pilot : Obe1
2026-08-23 21:34:41.489 | parse_health             | soloTest2.cam: records 1290/1290, bytes 522748/522748, rejects=0, exc=0, constr_err=0, first_desync=None
2026-08-23 21:34:43.051 | ato_target               | index_built names=7287 memo=True
2026-08-23 21:34:43.051 | ato_departure            | resolved=1/1
2026-08-23 21:34:43.068 | telemetry                | ping OK v1.80.0 Windows 11 canal=prod → HTTP 200
2026-08-23 21:34:44.960 | dtc_render               | path=Obe1.ini n_stpt=0 n_lines=0 n_ppt=0 n_dpi=0 n_divert=0 n_sections=6 hash=bb69a68d
2026-08-23 21:34:44.970 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0} sig=-
2026-08-23 21:34:44.972 | ato_departure            | resolved=1/1
2026-08-23 21:34:49.770 | roaster.data             | fetch
2026-08-23 21:34:49.773 | roaster.roster           | roster keys=['banshee2', 'panther5']
2026-08-23 21:34:49.785 | radiomap_service         | radiomap path=C:\Falcon\Falcon BMS 4.38\Data\Campaign\RadioMap.dat entries=1530
2026-08-23 21:34:49.878 | mission_support          | awacs: briefing cs='Chalice2' no coalition match
2026-08-23 21:34:49.878 | roaster.data             | ok — 1 flights, axis=None°
2026-08-23 21:34:53.546 | online                   | start_server port=45380
2026-08-23 21:34:53.553 | ato_departure            | resolved=1/1
2026-08-23 21:34:54.956 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:34:56.191 | online                   | stop_server
2026-08-23 21:34:59.963 | ato_departure            | resolved=1/1
2026-08-23 21:35:04.178 | online                   | peek_roster 86.194.141.253:45380 start (suggested=Obe1)
2026-08-23 21:35:16.345 | online                   | peek_roster 86.194.141.253:45380 timeout: Timeout — pas de réponse du host
2026-08-23 21:35:43.148 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0} sig=-
2026-08-23 21:35:43.149 | dtc_render               | path=Obe1.ini n_stpt=0 n_lines=0 n_ppt=0 n_dpi=0 n_divert=0 n_sections=6 hash=bb69a68d
2026-08-23 21:35:43.310 | ato_departure            | resolved=1/1
2026-08-23 21:35:46.173 | online                   | peek_roster 86.194.141.253:45380 start (suggested=Obe1)
2026-08-23 21:35:58.178 | online                   | peek_roster 86.194.141.253:45380 timeout: Timeout — pas de réponse du host
2026-08-23 21:36:28.859 | online                   | connect_client 86.194.141.253:45380 as Obe1
2026-08-23 21:36:28.866 | ato_departure            | resolved=1/1
2026-08-23 21:36:29.955 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:36:34.959 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:36:39.955 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:36:44.220 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0} sig=-
2026-08-23 21:36:44.221 | dtc_render               | path=Obe1.ini n_stpt=0 n_lines=0 n_ppt=0 n_dpi=0 n_divert=0 n_sections=6 hash=bb69a68d
2026-08-23 21:36:44.375 | ato_departure            | resolved=1/1
2026-08-23 21:36:44.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:36:49.955 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:36:54.952 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:36:59.955 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:04.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:09.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:14.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:19.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:24.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:29.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:34.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:39.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:44.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:49.952 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:54.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:37:59.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:04.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:09.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:14.954 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:19.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:24.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:29.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:34.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:39.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:44.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:49.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:54.955 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:38:59.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:04.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:09.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:14.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:19.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:24.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:29.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:34.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:39.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:44.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:49.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:54.952 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:39:59.953 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:40:04.952 | online                   | flight_occupancy flights=2 connected=1
2026-08-23 21:40:09.952 | online                   | flight_occupancy flights=2 connected=1
