2026-08-23 22:38:02.998 | ========================================================================
2026-08-23 22:38:02.998 | startup                  | FBB 1.80.0 — session 2026-08-23 22:38:02
2026-08-23 22:38:02.998 | startup                  | Répertoire : D:\Jeux_Utilitaires\Jeux\Falcon BMS 4.38\Tools\FBB\_internal
2026-08-23 22:38:02.998 | startup                  | Python 3.14.5
2026-08-23 22:38:02.998 | ========================================================================
2026-08-23 22:38:02.998 | system                   | OS : Windows 11 10.0.26200, AMD64, 32 CPU, RAM 32 GB
2026-08-23 22:38:03.006 | system                   | Machine : <masqué> / Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
2026-08-23 22:38:03.015 | registry                 | BMS baseDir : D:\Jeux_Utilitaires\Jeux\Falcon BMS 4.38
2026-08-23 22:38:03.015 | registry                 | BMS theater : Korea KTO  pilot : Mandrak
2026-08-23 22:38:04.722 | parse_health             | SoloBT.cam: records 1297/1297, bytes 475812/475812, rejects=0, exc=0, constr_err=0, first_desync=None
2026-08-23 22:38:06.286 | ato_target               | index_built names=7288 memo=True
2026-08-23 22:38:06.287 | ato_departure            | resolved=1/1
2026-08-23 22:38:06.785 | telemetry                | ping OK v1.80.0 Windows 11 canal=prod → HTTP 200
2026-08-23 22:38:08.278 | ato_departure            | resolved=1/1
2026-08-23 22:38:08.729 | loadout3d                | _build_loadout_mods: vu=20110 seat=1 sans entrée loadout_data dédiée (1 entrée(s) sur ce vol) — édition VALIDÉE mais NON écrite au .cam (dette #127/#135)
2026-08-23 22:38:08.861 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0} sig=-
2026-08-23 22:38:09.022 | fuel_plan                | avail=12194 atTurn=9560 bingo=3400 joker=3900 rtb=874 margin=6160 GO
2026-08-23 22:38:09.025 | dtc_render               | path=Mandrak.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=0 hash=6cf71c37
2026-08-23 22:38:10.622 | roaster.data             | fetch
2026-08-23 22:38:10.625 | roaster.roster           | roster keys=['cyborg3']
2026-08-23 22:38:10.637 | radiomap_service         | radiomap path=D:\Jeux_Utilitaires\Jeux\Falcon BMS 4.38\Data\Campaign\RadioMap.dat entries=1530
2026-08-23 22:38:10.733 | mission_support          | tanker: cam pkg=7167 vu=23862
2026-08-23 22:38:10.734 | radiomap_service         | radiomap path=D:\Jeux_Utilitaires\Jeux\Falcon BMS 4.38\Data\Campaign\RadioMap.dat entries=1530
2026-08-23 22:38:10.734 | mission_support          | awacs: cam pkg=7167 vu=24133
2026-08-23 22:38:10.734 | radiomap_service         | radiomap path=D:\Jeux_Utilitaires\Jeux\Falcon BMS 4.38\Data\Campaign\RadioMap.dat entries=1530
2026-08-23 22:38:10.735 | radiomap_service         | radiomap path=D:\Jeux_Utilitaires\Jeux\Falcon BMS 4.38\Data\Campaign\RadioMap.dat entries=1530
2026-08-23 22:38:10.736 | package_comms            | tactical ch=6 primary=Cyborg 3 uhf=316.775
2026-08-23 22:38:10.736 | roaster.data             | ok — 1 flights, axis=83.1°
2026-08-23 22:38:12.644 | loadout3d                | _build_loadout_mods: vu=20110 seat=1 sans entrée loadout_data dédiée (1 entrée(s) sur ce vol) — édition VALIDÉE mais NON écrite au .cam (dette #127/#135)
2026-08-23 22:38:12.644 | campaign_mods            | {'fpln': 0, 'loadout': 0, 'laser': 0, 'bullseye': 0, 'deletes': 0} sig=-
2026-08-23 22:38:12.660 | fuel_plan                | avail=12194 atTurn=9560 bingo=3400 joker=3900 rtb=874 margin=6160 GO
2026-08-23 22:38:12.660 | dtc_render               | path=Mandrak.ini n_stpt=24 n_lines=0 n_ppt=0 n_dpi=0 n_divert=3 n_sections=0 hash=6cf71c37
2026-08-23 22:38:12.784 | ato_departure            | resolved=1/1
