2026-07-28 14:20:30.913 | ========================================================================
2026-07-28 14:20:30.913 | startup                  | FBB 1.71.0 — session 2026-07-28 14:20:30
2026-07-28 14:20:30.913 | startup                  | Répertoire : C:\FALCON\Admin\Logiciels annexe\FBB\_internal
2026-07-28 14:20:30.913 | startup                  | Python 3.14.5
2026-07-28 14:20:30.913 | ========================================================================
2026-07-28 14:20:30.914 | system                   | OS : Windows 11 10.0.26200, AMD64, 8 CPU, RAM 16 GB
2026-07-28 14:20:30.943 | system                   | Machine : <masqué> / Intel64 Family 6 Model 140 Stepping 1, GenuineIntel
2026-07-28 14:20:30.943 | registry                 | BMS baseDir : C:\FALCON\Falcon BMS 4.38
2026-07-28 14:20:30.943 | registry                 | BMS theater : LKTO 4.38 - Mike  pilot : Myers
2026-07-28 14:20:35.437 | telemetry                | ping OK v1.71.0 Windows 11 canal=prod → HTTP 200
2026-07-28 14:20:42.333 | parse_health             | TC06_1371_barcap.cam: records 892/892, bytes 361585/361585, rejects=0, exc=0, constr_err=0, first_desync=None
2026-07-28 14:21:05.857 | parse_health             | TC_test3xflights.cam: records 1036/1036, bytes 415150/415150, rejects=0, exc=0, constr_err=0, first_desync=None
2026-07-28 14:35:03.113 | mission_support          | tanker: cam pkg=1371 vu=27808
2026-07-28 14:35:03.116 | mission_support          | awacs: cam pkg=1371 vu=27928
2026-07-28 14:35:03.117 | briefing_context         | roster_support flights=3 tanker=True awacs=True
2026-07-28 14:35:03.175 | briefing_context         | ordnance vu=20047 aircraft=4 pending=False
2026-07-28 14:35:03.290 | campaign_overview        | objective_index loaded=5992
2026-07-28 14:35:04.403 | campaign_overview        | tri conditions=1 file=save0.tri
2026-07-28 14:35:07.140 | campaign_overview        | built team=1 conditions=1 force_rows=7
2026-07-28 14:35:07.396 | campaign_overview        | tri conditions=1 file=save0.tri
2026-07-28 14:35:08.507 | campaign_overview        | built team=1 conditions=1 force_rows=7
2026-07-28 14:35:16.826 | campaign_overview        | tri conditions=1 file=save0.tri
2026-07-28 14:35:18.356 | campaign_overview        | built team=1 conditions=1 force_rows=7
2026-07-28 14:35:18.357 | campaign_overview        | system_marks=4
2026-07-28 14:35:18.516 | mission_support          | tanker: cam pkg=1371 vu=27808
2026-07-28 14:35:18.637 | mission_support          | awacs: cam pkg=1371 vu=27928
2026-07-28 14:35:18.732 | briefing_context         | package_overview flights=3 route_points=19 focus_points=3 unique_points=19
2026-07-28 14:35:18.765 | mission_support          | tanker: cam pkg=1371 vu=27808
2026-07-28 14:35:18.767 | mission_support          | awacs: cam pkg=1371 vu=27928
2026-07-28 14:35:18.768 | briefing_context         | roster_support flights=3 tanker=True awacs=True
2026-07-28 14:35:18.768 | briefing_context         | ordnance vu=20047 aircraft=4 pending=False
2026-07-28 14:35:18.774 | campaign_overview        | tri conditions=1 file=save0.tri
2026-07-28 14:35:20.307 | campaign_overview        | built team=1 conditions=1 force_rows=7
2026-07-28 14:35:31.610 | briefing_context         | package_overview flights=3 route_points=19 focus_points=3 unique_points=19
2026-07-28 14:35:35.673 | campaign_overview        | tri conditions=1 file=save0.tri
2026-07-28 14:35:36.317 | campaign_overview        | built team=1 conditions=1 force_rows=7
